,0
0,"新着
株式会社ビッグモーター | 最新設備が充実／クリーンな環境◆月8日以上休み／賞与年2回
未経験歓迎☆年収800万円以上も可能！【自動車整備士】*年齢不問 正社員
職種・業種未経験OK マネジャー採用 急募 転勤なし 学歴不問 第二新卒歓迎
女性のおしごと掲載中
仕事内容 《インセンがあるから月収50万円以上も可能》オイル交換などの簡単な業務から、定期点検や事故車の修理対応などをお任せします。
対象となる方 《未経験・無資格・第二新卒歓迎◆経験者優遇》「手に職つけたい！スキルを磨きたい！クルマが好き！」そんな方歓迎 ★多彩な福利厚生 ★資格取得支援
勤務地 《転勤なし！U・Iターン歓迎！マイカー通勤OK！》 ★勤務地は希望を最大限考慮します！ 下記エリア…
給与 【31歳以上】 月給245,500円以上＋インセン（月平均10〜20万円）＋諸手当 ※スキル・経験等を考慮し、決…
初年度年収 300万円～1000万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/17
掲載終了予定日： 2021/01/04"
1,"新着
株式会社グラスト | ★土日祝休み ★年間休日124日 ★20代男性活躍中
【キャリアコンサルタント】★未経験歓迎 ★管理職の70%が20代 正社員
職種・業種未経験OK マネジャー採用 急募 学歴不問 完全週休2日制 第二新卒歓迎
女性のおしごと掲載中
仕事内容 【研修充実／早期キャリアUP】◆人材不足にお悩みの企業様を訪問し、ヒアリング。課題を確認し、企業様ごとに最適な解決方法を提案します。
対象となる方 【未経験・第二新卒歓迎／学歴不問】＜こんな方は大歓迎！＞★人材業界に興味がある方 ★キャリアアップ志向がある方 ★『人と話す』ことが好きな方
勤務地 ※転勤なし/希望を考慮 ※北海道/仙台/東京/横浜/大阪/難波/天神/宮崎/那覇の各拠点 ★東京・…
給与 月給25万円〜50万円 ※あなたの年齢・経験・能力を考慮のうえ、優遇いたします。(エリアにより規定あり）…
初年度年収 350万円～700万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/17
掲載終了予定日： 2020/12/21"
2,"新着
UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】
【製造スタッフ】未経験から高収入！★月収最大42万円も可能 正社員
職種・業種未経験OK 急募 転勤なし 学歴不問 完全週休2日制 第二新卒歓迎
女性のおしごと掲載中
仕事内容 収入が大切！という方に見てほしい案件・社宅完備の案件多数！製造工場で部品の組立/検品/梱包/在庫管理等を担当！
対象となる方 《履歴書・職務経歴書不要です！》未経験や社会人デビュー、ブランクのある方も大歓迎！未経験から「がっつり稼ぎたい」を応援します★
勤務地 【転勤なし】全国40都道府県に配属！全国に約400ヶ所の勤務地 家具家電付きの綺麗な社員寮あり(社…
給与 月給20万〜42万円 ※勤務地により異なります ※経験・能力などを最大限考慮して決定します ※試用期間…
初年度年収 300万円～400万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/17
掲載終了予定日： 2020/12/14"
3,"新着
ME不動産埼京株式会社 | 11/28 マイナビ転職フェア川越参加＊残業ほぼナシ/年休120日以上
埼玉TOPクラスの実績★新店OPEN!川口所沢同時募集【不動産営業】 正社員
職種・業種未経験OK 急募 転勤なし 学歴不問 完全週休2日制 第二新卒歓迎
女性のおしごと掲載中
仕事内容 【新規テレアポ・飛込みなし】月12～13件Webなどから問合せがあったお客様に、最適な住まいをご案内。★社長面接1回のみで即内定！入社日相談OK
対象となる方 《応募条件》普通自動車免許(AT可)をお持ちの方　◎トップクラスの会社でノウハウを学びたい方大歓迎！まっさらな未経験者もイチから育てます★
勤務地 【埼玉県所沢市、川口市のいずれか】 ※どちらの店舗もマイカー通勤OK(大型駐車場完備) -----…
給与 【25歳以上の方】月給25万円以上＋退職金積立(2万円)＋賞与 【24歳の方】月給25万円以上＋賞与 【24歳未…
初年度年収 300万円～800万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/17
掲載終了予定日： 2020/12/14"
4,"新着
株式会社グッドワークコミュニケーションズ | 多角的な事業展開で急成長！★☆20～30代大活躍中！☆★
【営業職】★未経験スタート95％★定着率96.5％★平均月収36万円 正社員
職種・業種未経験OK 急募 転勤なし 学歴不問 完全週休2日制 第二新卒歓迎
女性のおしごと掲載中
仕事内容 《完全週休2日制／残業月10～20時間》クライアント企業の要望に応じて、個人or法人営業をお任せ。※2～4カ月かけて、じっくり研修を行います！
対象となる方 《Web面接OK！基本全員とお会いします！》★未経験／第二新卒／フリーター大歓迎★39歳までの方（若年層の長期キャリア形成を図るため）
勤務地 ☆全国または本社での勤務 ☆希望を考慮し、配属先を決定 ☆転勤なし ●東京 東京都杉並区/東京都練…
給与 ◆関東エリア 月給251,000円（固定残業代17,000円10時間分を含む） 〜月給300,000円（固定残業代20,500円…
初年度年収 350万円～800万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/17
掲載終了予定日： 2021/01/11"
5,"新着
株式会社ゴールドファステート | 【テレビCM放映中！】※大阪府緊急雇用対策に賛同
大阪のニーズが拡大中【営業】※未経験歓迎募集／固定月給30万円 正社員
職種・業種未経験OK 急募 転勤なし 第二新卒歓迎
女性のおしごと掲載中
仕事内容 【20代活躍中！】お金に関して、将来の生活に不安を抱える方がお客様。年金対策や資産運用を目的とした、新築マンションの相談・提案をお任せします。
対象となる方 【若手限定募集！第二新卒も歓迎】◎30歳までの方（※）★営業経験や不動産の経験はいっさい不問！ ★未経験スタートのメンバーが9割！
勤務地 【転勤なし／「心斎橋駅・なんば駅」から徒歩5分】 大阪府大阪市中央区西心斎橋2-2-7 御堂筋ジュ…
給与 ■固定月給30万円＋諸手当＋インセンティブ ※経験・能力を考慮の上、当社規定により優遇いたします ※…
初年度年収 450万円～700万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/12
掲載終了予定日： 2020/12/14"
6,"新着
日研トータルソーシング株式会社 | ブリヂストンなど業界大手に引き抜かれた先輩は年間40名以上！
ロボットの【メンテナンススタッフ】未経験でもゼロから学べる！ 正社員
職種・業種未経験OK 急募 学歴不問 完全週休2日制 第二新卒歓迎
女性のおしごと掲載中
仕事内容 《今後も需要が見込めるポジション》★ロボット・機械の修理やメンテナンスなどの業務をお任せします。 ★まずは同期と一緒の合同研修からスタート！
対象となる方 《履歴書の内容は一切気にしません》★学歴・経験・転職回数・年齢など不問 ★社会人デビュー、正社員デビュー、手に職つけたい方、大歓迎！
勤務地 *◆ 希望を考慮のうえ、全国46都道府県に配属！ ◆* ☆U・Iターン歓迎！希望の勤務地を考慮しま…
給与 月給22万円〜41万円＋残業手当（100％支給）＋賞与2回 【月収例：入社1年目】 月収30万円(月給23万円+…
初年度年収 350万円～600万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/16
掲載終了予定日： 2020/11/30"
7,"新着
株式会社ビッグモーター | ★月8日休み★ムダな残業なし★転勤なし★産休育休の実績多数
【店舗スタッフ】★約90％が年収650万円以上！★40歳以下 正社員
職種・業種未経験OK 急募 転勤なし 学歴不問 第二新卒歓迎
女性のおしごと掲載中
仕事内容 【100%反響スタイル＆ノルマなし】ご来店されたお客さまに「欲しいクルマ」を伺い、在庫からピッタリなクルマをご提案する仕事です。
対象となる方 【経験・知識不問／第二新卒歓迎／未経験歓迎】◆40歳以下★収入UPしたい方★プライベートも大切にしたい方★好きな街で働きたい方
勤務地 全国約300店舗/転勤なし/マイカー通勤OK 勤務地は希望を最大限考慮 ■北海道 ■岩手県/宮城県…
給与 月給22万8600円〜70万円(一律手当含む)＋インセンティブ＋賞与年2回+諸手当 ※年齢・能力を考慮のうえ、…
初年度年収 330万円～1500万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/06
掲載終了予定日： 2020/12/14"
8,"新着
株式会社レッド・フリップ | ◆入社1年以内にマネージャーへ昇格し年収1000万超えの社員多数
最速で収入UP・若手マネージャーを目指せる【営業】◆20代活躍中 正社員
職種・業種未経験OK マネジャー採用 急募 転勤なし 学歴不問 第二新卒歓迎
女性のおしごと掲載中
仕事内容 ◆目標達成で随時昇給+高率インセン→年収1000万も可能◆光熱費削減&省エネにつながる、オール電化住宅向けの魅力的な商品や新電力を提案します
対象となる方 ◆“プロ級の営業スキル”を身に付けて最速で成功の道へ！◆35歳までの方全員と面接します◆学歴・経験不問◆人物重視の採用◆平均年齢27歳◆面接1回
勤務地 ★転勤なし ★本社または各支店、全国各拠点 ★希望の拠点で働けます 【本社/支店】 ◆本社:千代田…
給与 月給25万円以上＋毎月インセンティブ ※上記はあくまで最低保証給です。 ※経験・年齢を考慮の上、当社の…
初年度年収 500万円～1000万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/17
掲載終了予定日： 2020/12/14"
9,"新着
株式会社一竜電業社 | 【大阪府緊急雇用対策に賛同】 #需要が安定的な電気の仕事です！
休みが選べる?!働きやすさが他と違う【電気工事士】※未経験歓迎 正社員
職種・業種未経験OK 転勤なし 学歴不問 第二新卒歓迎
女性のおしごと掲載中
仕事内容 【働き方が選べる】◆全くの現場未経験者でもスタートできる電気工事をお任せします！◎資格取得は全額会社負担／仕事の進め方は丁寧に教えるので安心
対象となる方 《未経験スタートの方歓迎！／資格は無しでもOK》◆入社したら資格は100％会社負担で取得OK◆学歴不問◆要普免(AT限可) ※経験ある方は前職給与を考慮
勤務地 【マイカー通勤可能／転勤なし】 《本社》大阪府大阪狭山市今熊3-464-1 ※南海『金剛』駅からバ…
給与 ◆月給21万円〜35万円 ※経験・スキルに応じて優遇します 《モデル月収》 ◎経験1年目／月収25万円 ◎経…
初年度年収 300万円～500万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/17
掲載終了予定日： 2021/01/11"
